Abbreviation,Name,Professors
ALGO,Algorithmics Laboratory,Amin Shokrollahi
CHILI,Computer-Human Interaction Lab for Learning & Instruction,Pierre Dillenbourg
CVLAB,Computer Vision Laboratory,"Pascal Fua, Mathieu Salzmann"
DATA,Data Analysis Theory and Applications Laboratory,Christoph Koch
DCSL,Data Center Systems Laboratory,Edouard Bugnion
DEDIS,Decentralized and Distributed Systems Lab,Bryan Alexander Ford
DIAS,Data-Intensive Applications and Systems Laboratory,"Anastasia Ailamaki, Odysseas Papapetrou"
DISOPT,Discrete Optimization Group (IC/SV),Friedrich Eisenbrand
DLAB,Data Science Laboratory,Robert West
DSLAB,Dependable Systems Laboratory,George Candea
Group Prof. M. Rajman,Group Prof. M. Rajman,Martin Rajman
HCI,Human-Computer Interaction Group,Pearl Pu Faltings
IIG,Immersive Interaction Group,Ronan Boulic
IVRL,Images and Visual Representation Laboratory,Sabine Süsstrunk
LABOS,Operating Systems Laboratory,Willy Zwaenepoel
LACAL,Laboratory for cryptologic algorithms,Arjen Lenstra
LAMP,Programming Methods Laboratory,Martin Odersky
LAMS,Systemic Modeling Laboratory,"Jean-Dominique Decotignie, Alain Wegmann"
LAP,Processor Architecture Laboratory,"Paolo Ienne, René Beuchat"
LARA,Laboratory for Automated Reasoning and Analysis,Viktor Kuncak
LASEC,Security and Cryptography Laboratory,Serge Vaudenay
LCA1,Computer Communications and Applications Laboratory 1,Jean-Pierre Hubaux
LCA2,Computer Communications and Applications Laboratory 2,Jean-Yves Le Boudec
LCA3,Computer Communications and Applications Laboratory 3,Patrick Thiran
LCA4,Computer Communications and Applications Laboratory 4,Matthias Grossglauser
LCAV,Audiovisual Communications Laboratory,"Adam James Scholefield, Christof Faller, Mihailo Kolundzija"
LCM,Mobile Communications Laboratory,Bixio Rimoldi
LCN,Computational Neuroscience Laboratory (IC/SV),Wulfram Gerstner
LDM,Media and Design Laboratory (IC/ENAC),Jeffrey Huang
LGG,Computer Graphics and Geometry Laboratory,Mark Pauly
LIA,Artificial Intelligence Laboratory,Boi Faltings
LINX,Laboratory for Information in Networked Systems,Michael C. Gastpar
LPD,Distributed Programming Laboratory,Rachid Guerraoui
LSI,Integrated Systems Laboratory (IC/STI),Giovanni De Micheli
LSIR,Distributed Information Systems Laboratory,Karl Aberer
LTHC,Communication Theory Laboratory,"Rüdiger Urbanke, Nicolas Macris"
LTHI,Information Theory Laboratory,"Emre Telatar, Olivier Lévêque"
MEDIA,Models and Environments for Document-based Interaction and Authoring,Christine Vanoirbeek
MLO,Machine Learning and Optimization Laboratory,Martin Jaggi
NAL,Network Architecture Laboratory,Katerina Argyraki
PARSA,Parrallel Systems Architecture Laboratory,Babak Falsafi
PARSA BIS,PARSA BIS,Mirjana Stojilovic
RGL,Realistic Graphics Laboratory,Wenzel Jakob
SDSC-GE,Swiss Data Science Center,Olivier Verscheure
SUPRA,Applied superconductivity,Bertrand Dutoit
THL2,Theory of computation Laboratory 2,Ola Nils Anders Svensson
THL3,Theory of Computation Laboratory 3,Nisheeth Vishnoi
THL4,Theory of Computation Laboratory 4,Mikhail Kapralov
UPSALATHE 1,Laboratory of Digital Epidemiology,Marcel Salathé
VLSC,Very Large Scale Computing Laboratory,James Larus
BIOROB,Biorobotics Laboratory,Auke Ijspeert
CNBI,Defitech Foundation Chair in Brain-machine Interface - only for Master thesis,Kyuhwa Lee
LIB,Biomedical imaging Laboratory,Michaël Unser
LIDIAP,L'IDIAP Laboratory,"Hervé Bourlard, Daniel Gatica-Perez, François Fleuret, Jean-Marc Odobez"
LIONS,Laboratory for Information and Inference Systems,Volkan Cevher
LIS,Laboratory of Intelligent Systems,Dario Floreano
LMAM,Laboratory of Movement Analysis and Measurement,Kamiar Aminian
LMIS2,Laboratory of Microsystems,"Martinus Gijs, Matteo Cornaglia"
LSM,Microelectronic Systems Laboratory,Yusuf Leblebici
LTS2,Signal Processing Laboratory 2,Pierre Vandergheynst
LTS4,Signal Processing Laboratory 4,Pascal Frossard
LTS5,Signal Processing Laboratory 5,Jean-Philippe Thiran
MIPLAB,Medical Image Processing Laboratory,Dimitri Van De Ville
MMSPL,Multimedia Signal Processing Group,Touradj Ebrahimi
TCL,Telecommunications Circuits Laboratory,Andreas Peter Burg
UPRAMDYA,Neuroengineering Laboratory Ramdya,Pavan P Ramdya
DISAL,Distributed Intelligent Systems and Algorithms Laboratory,Alcherio Martinoli
TRANSP-OR,Transportation and Mobility Laboratory,Michel Bierlaire
VITA,Visual Intelligence for Transportation,Alexandre Alahi
DHLAB,Digital Humanities Laboratory,Frédéric Kaplan
IIPP,Chair of Innovation and IP Policy,David Portabella Clotet
